"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2019","301.35","304.55","307.55","299.50","11.16M","-1.05%"
"26-04-2019","304.55","304.60","306.40","302.55","4.65M","0.13%"
"25-04-2019","304.15","307.25","309.80","302.00","23.24M","-0.75%"
"24-04-2019","306.45","303.40","307.20","298.50","11.45M","1.01%"
"23-04-2019","303.40","302.15","304.80","301.55","7.50M","0.53%"
"22-04-2019","301.80","303.85","305.50","301.05","6.67M","-0.85%"
"18-04-2019","304.40","308.25","308.25","303.55","8.84M","-0.91%"
"16-04-2019","307.20","306.80","309.95","306.15","9.75M","0.56%"
"15-04-2019","305.50","307.90","310.00","304.35","12.61M","-0.08%"
"12-04-2019","305.75","296.65","307.40","295.60","21.82M","3.15%"
"11-04-2019","296.40","294.55","297.45","293.00","10.76M","0.58%"
"10-04-2019","294.70","296.05","296.55","293.50","5.33M","-0.54%"
"09-04-2019","296.30","292.50","296.70","292.25","6.18M","1.21%"
"08-04-2019","292.75","294.65","295.00","291.70","5.29M","-0.61%"
"05-04-2019","294.55","295.05","296.40","292.65","7.81M","-0.08%"
"04-04-2019","294.80","296.00","297.30","293.75","6.97M","-0.46%"
"03-04-2019","296.15","298.00","299.00","295.15","9.06M","-0.59%"
"02-04-2019","297.90","297.40","300.00","294.65","9.85M","0.22%"
"01-04-2019","297.25","297.00","299.20","296.55","6.20M","0.00%"
"29-03-2019","297.25","302.00","303.00","295.45","11.91M","-0.92%"
"28-03-2019","300.00","294.10","302.00","293.00","17.75M","2.35%"
"27-03-2019","293.10","294.00","296.70","291.60","8.43M","-0.10%"
"26-03-2019","293.40","295.00","296.35","291.05","10.76M","-0.56%"
"25-03-2019","295.05","297.00","297.00","293.20","8.02M","-1.06%"
"22-03-2019","298.20","300.00","300.00","296.55","8.07M","-0.23%"
"20-03-2019","298.90","300.00","301.95","296.60","15.62M","-0.18%"
"19-03-2019","299.45","294.60","300.00","293.35","15.76M","1.94%"
"18-03-2019","293.75","292.00","294.20","291.30","9.17M","1.01%"
"15-03-2019","290.80","295.95","296.55","289.35","21.40M","-1.59%"
"14-03-2019","295.50","295.40","296.00","290.45","10.11M","0.20%"
"13-03-2019","294.90","295.00","297.00","294.15","11.07M","0.14%"
"12-03-2019","294.50","294.00","295.65","293.15","14.14M","0.53%"
"11-03-2019","292.95","293.00","294.90","291.10","14.72M","0.33%"
"08-03-2019","292.00","290.30","293.00","288.40","12.68M","0.65%"
"07-03-2019","290.10","286.70","291.00","285.85","14.29M","1.52%"
"06-03-2019","285.75","285.00","289.20","284.75","20.05M","1.13%"
"05-03-2019","282.55","280.00","284.00","276.05","13.58M","1.56%"
"01-03-2019","278.20","276.45","279.00","276.25","8.83M","0.78%"
"28-02-2019","276.05","277.30","277.30","274.25","43.21M","0.35%"
"27-02-2019","275.10","276.00","278.90","273.90","13.13M","-0.15%"
"26-02-2019","275.50","274.95","277.00","274.05","11.78M","-0.43%"
"25-02-2019","276.70","274.50","277.15","273.00","30.05M","0.87%"
"22-02-2019","274.30","275.60","275.95","273.10","8.76M","-0.27%"
"21-02-2019","275.05","275.90","276.75","274.20","7.00M","-0.29%"
"20-02-2019","275.85","277.25","277.50","274.25","5.98M","-0.02%"
"19-02-2019","275.90","274.00","279.20","274.00","34.45M","0.44%"
"18-02-2019","274.70","278.80","282.45","273.90","40.67M","-1.93%"
"15-02-2019","280.10","279.00","280.95","275.40","37.55M","0.79%"
"14-02-2019","277.90","277.00","280.20","277.00","9.99M","0.38%"
"13-02-2019","276.85","280.05","283.90","275.20","15.34M","0.56%"
"12-02-2019","275.30","277.05","280.50","274.60","7.34M","-0.65%"
"11-02-2019","277.10","275.80","278.20","268.45","9.95M","0.58%"
"08-02-2019","275.50","279.50","281.20","274.60","4.41M","-1.71%"
"07-02-2019","280.30","277.90","281.00","277.00","5.95M","0.94%"
"06-02-2019","277.70","275.00","278.40","274.55","8.10M","1.29%"
"05-02-2019","274.15","277.35","277.80","272.50","9.83M","-1.06%"
"04-02-2019","277.10","281.90","281.90","276.05","6.06M","-1.34%"
"01-02-2019","280.85","280.65","285.20","279.10","18.35M","0.79%"
"31-01-2019","278.65","276.50","279.60","273.60","15.35M","1.14%"
"30-01-2019","275.50","280.10","280.20","274.20","10.45M","-1.06%"
"29-01-2019","278.45","275.30","279.00","274.75","7.00M","1.35%"
"28-01-2019","274.75","278.90","279.45","274.20","8.99M","-1.59%"
"25-01-2019","279.20","280.00","282.70","278.50","8.90M","0.11%"
"24-01-2019","278.90","279.30","283.35","277.85","28.03M","0.58%"
"23-01-2019","277.30","291.50","294.40","275.00","40.19M","-4.30%"
"22-01-2019","289.75","289.85","291.00","285.15","10.33M","-0.05%"
"21-01-2019","289.90","292.85","293.20","288.70","8.20M","-0.53%"
"18-01-2019","291.45","293.25","295.10","290.65","10.99M","-0.85%"
